Transporte Particular,Kg CO2e/Km Vehiculo,(WTT) Kg CO2e / km Vehiculo
Blanco,0,0
Transporte Activo (Caminata/bicicleta/otro),0,0
Moto,"0,10289","0,02727"
Moto Gasolina,"0,10289","0,02727"
Moto Diésel,"0,10289","0,02727"
Moto Híbrido,"0,10289","0,02727"
Moto Eléctrico,"0,10289","0,02727"
Biotren,"0,12076","0,02879"
Bus Interregional,"0,12076","0,02879"
Transporte Público,"0,12076","0,02879"
Transporte Público Metro + bus,"0,12076","0,02879"
Transporte Público Micro/bus urbano,"0,12076","0,02879"
Transporte Público Micro/bus urbano Gasolina,"0,12076","0,02879"
Transporte Público Micro/bus urbano Diésel,"0,12076","0,02879"
Transporte Público Micro/bus urbano Híbrido,"0,12076","0,02879"
Transporte Público Micro/bus urbano Eléctrico,"0,12076","0,02879"
Auto Particular,"0,19228","0,05222"
Auto Particular Gasolina,"0,19228","0,05222"
Auto Particular Diésel,"0,17061","0,04069"
Auto Particular Híbrido,"0,05769","0,00805"
Auto Particular Eléctrico,"0,10895","0,02764"
Transporte Público Taxi/Local/Colectivo,"0,20947","0,05006"
Transporte Público Taxi/Local/Colectivo Gasolina,"0,28295","0,07694"
Transporte Público Taxi/Local/Colectivo Diésel,"0,20947","0,05006"
Transporte Público Taxi/Local/Colectivo Híbrido,"0,07256","0,01012"
Transporte Público Taxi/Local/Colectivo Eléctrico,"0,13177","0,03272"
Transporte Público Uber/Didi/App,"0,12076","0,02879"
Transporte Público Gasolina,"0,12076","0,02879"
Transporte Público Híbrido,"0,12076","0,02879"
Transporte Público Diésel,"0,12076","0,02879"
Transporte Público Eléctrico,"0,12076","0,02879"
Van,"0,25213","0,06035"
